Cidade_ID,Nome_Cidade,Regiao_ID,Nome_Regiao,Qtd_Liderancas
1,Angra dos Reis,2,COSTA VERDE,8
2,Araruama,5,REGIÃO DOS LAGOS,4
3,Areal,1,CENTRO SUL,2
4,Barra Mansa,7,SUL FLUNINENSE,84
5,Barra do Piraí,7,SUL FLUNINENSE,58
6,Belford Roxo,3,METROPOLITANA,1
7,Cabo Frio,5,REGIÃO DOS LAGOS,1
8,Cachoeiras de Macacu,6,SERRANA,1
9,Campos dos Goytacazes,4,NORTE FLUMINENSE,2
10,Carmo,6,SERRANA,1
11,Casimiro de Abreu,5,REGIÃO DOS LAGOS,1
12,Comendador Levy Gasparian,1,CENTRO SUL,1
13,Duque de Caxias,3,METROPOLITANA,11
14,Engenheiro Paulo de Frontin,1,CENTRO SUL,10
15,Guapimirim,3,METROPOLITANA,3
16,Iguaba Grande,5,REGIÃO DOS LAGOS,14
17,Itaguaí,2,COSTA VERDE,1
18,Japeri,3,METROPOLITANA,10
19,Lídice,7,SUL FLUNINENSE,3
20,Macaé,4,NORTE FLUMINENSE,2
21,Magé,3,METROPOLITANA,5
22,Maricá,3,METROPOLITANA,5
23,Mesquita,3,METROPOLITANA,3
24,Miguel Pereira,1,CENTRO SUL,9
25,Nilópolis,3,METROPOLITANA,3
26,Niterói,3,METROPOLITANA,9
27,Nova Friburgo,6,SERRANA,1
28,Nova Iguaçu,3,METROPOLITANA,5
29,Paracambi,3,METROPOLITANA,1
30,Paraty,2,COSTA VERDE,4
31,Paraíba do Sul,1,CENTRO SUL,4
32,Paty do Alferes,1,CENTRO SUL,6
33,Petrópolis,6,SERRANA,4
34,Pinheiral,7,SUL FLUNINENSE,19
35,Piraí,7,SUL FLUNINENSE,2
36,Porto Real,7,SUL FLUNINENSE,12
37,Quatis,7,SUL FLUNINENSE,2
38,Queimados,3,METROPOLITANA,2
39,Resende,7,SUL FLUNINENSE,10
40,Rio Claro,7,SUL FLUNINENSE,13
41,Rio das Ostras,5,REGIÃO DOS LAGOS,1
42,Rio de Janeiro,3,METROPOLITANA,120
43,Sapucaia,1,CENTRO SUL,1
44,São Francisco de Itabapoana,4,NORTE FLUMINENSE,1
45,São Gonçalo,3,METROPOLITANA,6
46,São José do Vale do Rio Preto,6,SERRANA,6
47,São João de Meriti,3,METROPOLITANA,1
48,São Pedro da Aldeia,5,REGIÃO DOS LAGOS,4
49,Teresópolis,6,SERRANA,1
50,Três Rios,1,CENTRO SUL,25
51,Valença,7,SUL FLUNINENSE,1
52,Vassouras,1,CENTRO SUL,13
53,Volta Redonda,7,SUL FLUNINENSE,164
