DepFederal_ID,Nome_Canonico,Eh_Dobrado_de_Edson_Albertassi,Qtd_Liderancas,Variantes_Encontradas_na_Planilha_Original
1,Abraão,Sim,1,ABRAAO
2,Altineu Côrtes,Sim,1,ALTINEU CORTES
3,Bernardo Rossi,Não,1,BERNARDO ROSSI
4,Coronel Henrique,Sim,6,"CORONEL, CORONEL HENRIQUE"
5,Dani Cunha,Sim,379,"DANI, DANI CUNHA"
6,Dr. Flávio,Não,1,DR FLÁVIO
7,Eloi Ramalho,Sim,4,ELOI RAMALHO
8,Fernando Jordão,Não,2,FERNANDO JORDAO
9,Gutemberg Reis,Sim,2,GUTEMBERG REIS
10,Hugo Leal,Sim,4,HUGO LEAL
11,Júnior Trovão,Sim,1,JÚNIOR TROVÃO
12,Luciano Vieira,Sim,2,LUCIANO VIEIRA
13,Luizinho,Sim,4,LUIZINHO
14,Marta Rocha,Sim,11,MARTA ROCHA
15,Otoni de Paula,Não,3,OTONI DE PAULA
16,Rosana Felix,Não,8,"ROSANA FELIX, ROSANE FELIX"
17,Serfiotis,Sim,22,SERFIOTIS
18,Sostenes,Sim,9,SOSTENES
19,Talita Galhardo,Sim,1,TALITA GALHARDO
20,Vinicius Farah,Sim,57,VINICIUS FARAH
21,Wellington Dias,Não,23,WELLINGTON DIAS
22,Wellington José,Sim,17,WELLINGTON JOSÉ
23,Áureo Ribeiro,Sim,78,"AUREO RIBEIRO, ÁUREO RIBEIRO"
